"IndicatorName","IndicatorCode"
"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS
"Consumer price index (2005 = 100)",FP.CPI.TOTL
"Consumption of iodized salt (% of households)",SN.ITK.SALT.ZS
"Container port traffic (TEU: 20 foot equivalent units)",IS.SHP.GOOD.TU
"Contraceptive prevalence (% of women ages 15-49)",SP.DYN.CONU.ZS
"Contributing family workers, female (% of females employed)",SL.FAM.WORK.FE.ZS
"Contributing family workers, male (% of males employed)",SL.FAM.WORK.MA.ZS
"Contributing family workers, total (% of total employed)",SL.FAM.WORK.ZS
"Cost of business start-up procedures (% of GNI per capita)",IC.REG.COST.PC.ZS
"Cost to export (US$ per container)",IC.EXP.COST.CD
"Cost to import (US$ per container)",IC.IMP.COST.CD
"CPIA building human resources rating (1=low to 6=high)",IQ.CPA.HRES.XQ
"CPIA business regulatory environment rating (1=low to 6=high)",IQ.CPA.BREG.XQ
"CPIA debt policy rating (1=low to 6=high)",IQ.CPA.DEBT.XQ
"CPIA economic management cluster average (1=low to 6=high)",IQ.CPA.ECON.XQ
"CPIA efficiency of revenue mobilization rating (1=low to 6=high)",IQ.CPA.REVN.XQ
"CPIA equity of public resource use rating (1=low to 6=high)",IQ.CPA.PRES.XQ
"CPIA financial sector rating (1=low to 6=high)",IQ.CPA.FINS.XQ
"CPIA fiscal policy rating (1=low to 6=high)",IQ.CPA.FISP.XQ
"CPIA gender equality rating (1=low to 6=high)",IQ.CPA.GNDR.XQ
"CPIA macroeconomic management rating (1=low to 6=high)",IQ.CPA.MACR.XQ
"CPIA policies for social inclusion/equity cluster average (1=low to 6=high)",IQ.CPA.SOCI.XQ
"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)",IQ.CPA.ENVR.XQ
"CPIA property rights and rule-based governance rating (1=low to 6=high)",IQ.CPA.PROP.XQ
"CPIA public sector management and institutions cluster average (1=low to 6=high)",IQ.CPA.PUBS.XQ
"CPIA quality of budgetary and financial management rating (1=low to 6=high)",IQ.CPA.FINQ.XQ
"CPIA quality of public administration rating (1=low to 6=high)",IQ.CPA.PADM.XQ
"CPIA social protection rating (1=low to 6=high)",IQ.CPA.PROT.XQ
"CPIA structural policies cluster average (1=low to 6=high)",IQ.CPA.STRC.XQ
"CPIA trade rating (1=low to 6=high)",IQ.CPA.TRAD.XQ
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ
"Credit depth of information index (0=low to 6=high)",IC.CRD.INFO.XQ
"Crop production index (2004-2006 = 100)",AG.PRD.CROP.XD
"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS
"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS
"Currency composition of PPG debt, Euro (%)",DT.CUR.EURO.ZS
"Currency composition of PPG debt, French franc (%)",DT.CUR.FFRC.ZS
"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS
"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS
"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS
"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS
"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS
"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS
"Current account balance (% of GDP)",BN.CAB.XOKA.GD.ZS
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD
"Customs and other import duties (% of tax revenue)",GC.TAX.IMPT.ZS
"Customs and other import duties (current LCU)",GC.TAX.IMPT.CN
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN
"Debt buyback (current US$)",DT.DSB.DPPG.CD
"Debt forgiveness grants (current US$)",DT.DOD.MDRI.CD
"Debt forgiveness or reduction (current US$)",DT.DFR.DPPG.CD
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS
"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD
"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD
"Debt stock reduction (current US$)",DT.DSF.DPPG.CD
"Debt stock rescheduled (current US$)",DT.DXR.DPPG.CD
"DEC alternative conversion factor (LCU per US$)",PA.NUS.ATLS
"Delay in obtaining an electrical connection (days)",IC.ELC.DURS
"Deposit interest rate (%)",FR.INR.DPST
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3
"Depth of the food deficit (kilocalories per person per day)",SN.ITK.DFCT
"Diabetes prevalence (% of population ages 20 to 79)",SH.STA.DIAB.ZS
"Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)",SH.STA.ORCF.ZS
"Diarrhea treatment (% of children under 5 who received ORS packet)",SH.STA.ORTH
"Disaster risk reduction progress score (1-5 scale; 5=best)",EN.CLC.DRSK.XQ
"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD
"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD
"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD
"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD
"Discrepancy in expenditure estimate of GDP (constant LCU)",NY.GDP.DISC.KN
"Discrepancy in expenditure estimate of GDP (current LCU)",NY.GDP.DISC.CN
"Documents to export (number)",IC.EXP.DOCS
"Documents to import (number)",IC.IMP.DOCS
"Domestic credit provided by banking sector (% of GDP)",FS.AST.DOMS.GD.ZS
"Domestic credit to private sector (% of GDP)",FS.AST.PRVT.GD.ZS
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
"Ease of doing business index (1=most business-friendly regulations)",IC.BUS.EASE.XQ
"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD
"Electric power consumption (kWh per capita)",EG.USE.ELEC.KH.PC
"Electric power consumption (kWh)",EG.USE.ELEC.KH
"Electric power transmission and distribution losses (% of output)",EG.ELC.LOSS.ZS
"Electric power transmission and distribution losses (kWh)",EG.ELC.LOSS.KH
"Electricity production (kWh)",EG.ELC.PROD.KH
"Electricity production from coal sources (% of total)",EG.ELC.COAL.ZS
"Electricity production from coal sources (kWh)",EG.ELC.COAL.KH
"Electricity production from hydroelectric sources (% of total)",EG.ELC.HYRO.ZS
"Electricity production from hydroelectric sources (kWh)",EG.ELC.HYRO.KH
"Electricity production from natural gas sources (% of total)",EG.ELC.NGAS.ZS
"Electricity production from natural gas sources (kWh)",EG.ELC.NGAS.KH
"Electricity production from nuclear sources (% of total)",EG.ELC.NUCL.ZS
"Electricity production from nuclear sources (kWh)",EG.ELC.NUCL.KH
"Electricity production from oil sources (% of total)",EG.ELC.PETR.ZS
"Electricity production from oil sources (kWh)",EG.ELC.PETR.KH
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS
"Electricity production from renewable sources (kWh)",EG.ELC.RNEW.KH
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH
"Emigration rate of tertiary educated (% of total tertiary educated population)",SM.EMI.TERT.ZS
"Employees, agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS
"Employees, agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS
"Employees, industry, female (% of female employment)",SL.IND.EMPL.FE.ZS
"Employees, industry, male (% of male employment)",SL.IND.EMPL.MA.ZS
"Employees, services, female (% of female employment)",SL.SRV.EMPL.FE.ZS
"Employees, services, male (% of male employment)",SL.SRV.EMPL.MA.ZS
"Employers, female (% of employment)",SL.EMP.MPYR.FE.ZS
"Employers, male (% of employment)",SL.EMP.MPYR.MA.ZS
"Employers, total (% of employment)",SL.EMP.MPYR.ZS
"Employment in agriculture (% of total employment)",SL.AGR.EMPL.ZS
"Employment in industry (% of total employment)",SL.IND.EMPL.ZS
"Employment in services (% of total employment)",SL.SRV.EMPL.ZS
"Employment to population ratio, 15+, female (%)",SL.EMP.TOTL.SP.FE.ZS
"Employment to population ratio, 15+, male (%)",SL.EMP.TOTL.SP.MA.ZS
"Employment to population ratio, 15+, total (%)",SL.EMP.TOTL.SP.ZS
"Employment to population ratio, ages 15-24, female (%)",SL.EMP.1524.SP.FE.ZS
"Employment to population ratio, ages 15-24, male (%)",SL.EMP.1524.SP.MA.ZS
"Employment to population ratio, ages 15-24, total (%)",SL.EMP.1524.SP.ZS
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
"Energy production (kt of oil equivalent)",EG.EGY.PROD.KT.OE
"Energy related methane emissions (% of total)",EN.ATM.METH.EG.ZS
"Energy use (kg of oil equivalent per capita)",EG.USE.PCAP.KG.OE
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",EG.USE.COMM.GD.PP.KD
"Energy use (kt of oil equivalent)",EG.USE.COMM.KT.OE
"Exclusive breastfeeding (% of children under 6 months)",SH.STA.BFED.ZS
"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS
"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS
"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS
"Expense (% of GDP)",GC.XPN.TOTL.GD.ZS
"Expense (current LCU)",GC.XPN.TOTL.CN
"Export value index (2000 = 100)",TX.VAL.MRCH.XD.WD
"Export volume index (2000 = 100)",TX.QTY.MRCH.XD.WD
"Exports as a capacity to import (constant LCU)",NY.EXP.CAPM.KN
"Exports of goods and services (% of GDP)",NE.EXP.GNFS.ZS
"Exports of goods and services (annual % growth)",NE.EXP.GNFS.KD.ZG
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD
"Exports of goods and services (constant 2005 US$)",NE.EXP.GNFS.KD
"Exports of goods and services (constant LCU)",NE.EXP.GNFS.KN
"Exports of goods and services (current LCU)",NE.EXP.GNFS.CN
"Exports of goods and services (current US$)",NE.EXP.GNFS.CD
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD
"External balance on goods and services (% of GDP)",NE.RSB.GNFS.ZS
"External balance on goods and services (constant LCU)",NE.RSB.GNFS.KN
"External balance on goods and services (current LCU)",NE.RSB.GNFS.CN
"External balance on goods and services (current US$)",NE.RSB.GNFS.CD
"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS
"External debt stocks (% of GNI)",DT.DOD.DECT.GN.ZS
"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD
"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD
"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD
"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD
"External resources for health (% of total expenditure on health)",SH.XPD.EXTR.ZS
"Female headed households (% of households with a female head)",SP.HOU.FEMA.ZS
"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
"Fertilizer consumption (% of fertilizer production)",AG.CON.FERT.PT.ZS
"Fertilizer consumption (kilograms per hectare of arable land)",AG.CON.FERT.ZS
"Final consumption expenditure (constant 2005 US$)",NE.CON.TOTL.KD
"Final consumption expenditure (constant LCU)",NE.CON.TOTL.KN
"Final consumption expenditure (current LCU)",NE.CON.TOTL.CN
"Final consumption expenditure (current US$)",NE.CON.TOTL.CD
"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS
